id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1255350,bedroom over garden in center city,6838157,Martine,Bordeaux,Centre ville (Bordeaux),44.84272,-0.58868,Private room,50,2,78,2019-05-11,1.08,2,151
1258486,"Bedroom,large bed,French breakfast,free parking",6854230,Marcel,Talence,Talence,44.82278,-0.58956,Private room,40,2,130,2019-05-15,1.80,2,288
1265088,Luminous House with heated pool ,6880544,Cyril,Le Taillan-Mdoc,Le Taillan-Mdoc,44.91812,-0.66613,Entire home/apt,243,7,0,,,1,302
1266428,La maison d'Antoinette,6893670,Françoise,Saint-Mdard-en-Jalles,Saint-Mdard-en-Jalles,44.88262,-0.70032,Entire home/apt,70,2,37,2018-08-21,0.63,1,302
1267602,HOLIDAY RENT,6899936,Alyko,Villenave-d'Ornon,Villenave-d'Ornon,44.77827,-0.53595,Entire home/apt,55,3,7,2018-12-09,0.10,1,223
1272272,Cosy 2 bedroom house in calm area,6924683,Marine Et Damien,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83491,-0.60359,Entire home/apt,100,5,24,2019-04-26,0.34,1,170
1274080,au cœur du quartier historique,6935270,Fred,Bordeaux,Centre ville (Bordeaux),44.83711,-0.5702,Entire home/apt,90,1,429,2019-05-03,5.95,1,329
1282101,Chambre dans loft jardin centre Bdx,6838157,Martine,Bordeaux,Centre ville (Bordeaux),44.84324,-0.58717,Private room,50,2,68,2017-12-10,0.95,2,7
1288100,Grand studio Bordeaux avec piscine,7005396,Xavier,Merignac,Capeyron,44.85054,-0.6396,Entire home/apt,75,5,1,2015-09-24,0.02,1,358
1299682,Beautiful T3 Hypercentral + PARKING,7066630,Marina,Bordeaux,Centre ville (Bordeaux),44.84303,-0.5804,Entire home/apt,180,3,28,2019-04-28,0.40,1,338
1308250,Double bed in COZY Loft by the river,7107427,Ben,Lormont,Lormont,44.87696,-0.53346,Private room,21,3,55,2019-04-16,0.78,5,75
1321105,quiet duplex house dowtown Bordeaux,3746923,Elisabeth,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.8327,-0.59665,Entire home/apt,66,2,9,2018-07-15,0.13,2,12
1323347,Big apartment / hyper center/ 3***,7183066,M,Bordeaux,Centre ville (Bordeaux),44.84232,-0.57176,Entire home/apt,135,3,2,2017-07-06,0.03,1,243
1330588,Small bedroom 1 pers. in Loft 100m² along river,7107427,Ben,Lormont,Lormont,44.87714,-0.53518,Private room,20,4,72,2019-01-26,1.01,5,76
1334064,BORDEAUX BEGLES A 1 HR DES PLAGES,7235428,Jean Jacques,Bgles,Bgles,44.81287,-0.54331,Private room,50,1,1,2015-06-15,0.02,1,365
1353746,PrivateRoom SharedBathroomBFinclued,1882891,Sandrine&Emmanuel,Bordeaux,Nansouty - Saint Gens,44.81771,-0.57303,Private room,35,1,24,2017-03-24,0.34,1,293
1353927,Chambre double Bordeaux Centre,7348650,Marie-Sophie,Bordeaux,Centre ville (Bordeaux),44.84689,-0.59299,Private room,45,2,1,2017-09-28,0.05,1,363
1355270,Chambre dans appartement 55m²,7355346,Cécile,Bordeaux,Bordeaux Maritime,44.86439,-0.56722,Private room,50,2,2,2018-02-12,0.04,1,365
1355740,Charming and quiet apartment,29102137,L.C.B,Bordeaux,Bordeaux Sud,44.83465,-0.56886,Entire home/apt,120,2,10,2019-02-15,0.15,26,129
1355836,Fully equipped studio in Bordeaux,7354091,Deborah,Bordeaux,Bordeaux Sud,44.82704,-0.57009,Entire home/apt,50,2,41,2019-05-19,0.63,1,344
1362776,Peaceful home just 10 minutes from the city center,7397083,Hicanoba,Talence,Talence,44.81698,-0.59319,Entire home/apt,130,3,18,2018-08-19,0.31,2,24
1367124,i don't speak english,7417559,Christian,Gradignan,Gradignan,44.75524,-0.63437,Private room,77,1,0,,,1,365
1372795,B&B for 2-3 with private bathroom,7442737,Patricia,Bordeaux,La Bastide,44.84482,-0.55185,Private room,95,2,3,2014-05-21,0.04,3,364
